ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,,,LABEL_DATA
-0.3123,4.3772,8.7047,-0.4776,4.4475,8.7309,-0.097,0.053,-0.1413,-0.0272,-7.00E-04,0.0106,62.33,-20.26,5.34,-40.21,45.11,-26.96,3.13,2,1015.02,37.226,30.453508,-84.31867,70.19,NaN,,0,82.99355,,0 / 20,7,2018-04-20 21:36:46:159,,,
-0.4341,4.3555,8.9889,-0.4838,4.4155,8.7468,-0.1437,0.0762,0.0358,-0.0354,0.0123,-0.0179,66.556,-20.35,6.2,-39.27,44.66,-26.75,3.17,2,1015.02,37.226,30.453508,-84.31867,70.19,NaN,,0,82.99355,,0 / 20,106,2018-04-20 21:36:46:258,,,
-0.3828,4.3543,8.8558,-0.438,4.3906,8.7617,-0.1818,0.0272,0.0564,-0.0551,-0.0415,-0.0058,66.556,-20.09,5.41,-38.93,45.6,-26.82,3,2,1015.02,37.226,30.453508,-84.31867,70.19,NaN,,0,82.99355,,0 / 20,207,2018-04-20 21:36:46:359,,,
-0.3577,4.2977,8.8222,-0.4207,4.3337,8.7908,-0.0647,-0.0791,-0.1434,-0.1039,-0.046,-0.0319,66.556,-20.14,5.52,-39.18,44.57,-26.22,2.74,2,1015.02,25.134,30.453508,-84.31867,70.19,NaN,,0,82.99355,,0 / 20,307,2018-04-20 21:36:46:459,,,
-0.3923,4.2761,9.0285,-0.3536,4.3213,8.7999,-0.094,-8.00E-04,-0.0579,0.0189,-0.0778,8.00E-04,66.556,-21.47,6.81,-39.17,44.34,-26.14,2.3,2,1015.02,25.134,30.453508,-84.31867,70.19,NaN,,0,82.99355,,0 / 20,407,2018-04-20 21:36:46:559,,,
-0.2801,4.3278,9.0537,-0.3009,4.3395,8.7928,-0.1198,0.0314,0.1133,0.0302,-0.088,0.0125,66.556,-21.09,6.53,-38.51,43.89,-26.25,1.96,2,1015.02,25.134,30.453508,-84.31867,70.19,NaN,,0,82.99355,,0 / 20,506,2018-04-20 21:36:46:658,,,
-0.1464,4.3338,8.8462,-0.2566,4.3525,8.7878,-0.1349,0.0253,-0.0067,-0.0104,-0.0304,-0.0125,66.556,-21.93,6.01,-38.64,45.99,-26.39,1.76,2,1015.02,24.976,30.453508,-84.31867,70.19,NaN,,0,82.99355,,0 / 20,607,2018-04-20 21:36:46:759,,,
-0.1178,4.3038,9.0705,-0.274,4.3323,8.7973,-0.1357,0.012,-0.0545,-0.0286,0.0088,-0.0193,66.556,-21.9,6.73,-39.08,44.89,-26.31,1.73,2,1015.02,24.976,30.453508,-84.31867,70.19,NaN,,0,82.99355,,0 / 20,707,2018-04-20 21:36:46:859,,,
-0.2228,4.2616,8.8834,-0.2675,4.3309,8.7982,-0.0925,0.052,-0.0712,-0.004,-0.0035,0.0083,66.556,-21.62,6.55,-38.32,45.49,-26.2,1.74,2,1015.02,24.976,30.453508,-84.31867,70.19,NaN,,0,82.99355,,0 / 20,807,2018-04-20 21:36:46:959,,,
-0.2108,4.2676,8.9469,-0.2574,4.334,8.797,-0.1431,0.0312,-0.0319,-0.0047,-7.00E-04,-0.0029,66.556,-20.95,6.62,-38.2,44.12,-26.24,1.68,2,1015.02,25.358,30.453508,-84.31867,70.19,NaN,,0,82.99355,,0 / 20,907,2018-04-20 21:36:47:059,,,
