ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0407,-0.0096,9.7543,0.0494,0.0153,9.8065,-0.0039,0.0067,-0.0187,0.0012,0,0.0012,241,-10.4,24.4,-32.4,22.25,-0.09,-0.29,3.1,1009.36,40.822,30.44514,-84.30046,146.92,NaN,,0,25.806452,,9-Aug,26,2018-04-16 19:52:03:070
0.0718,0.0239,9.7926,0.0493,0.0147,9.8065,-0.0039,0.0067,-0.0187,0.0012,0,0.0012,267,-10,24.4,-33.3,22.25,-0.09,-0.29,3.1,1009.36,40.822,30.44514,-84.30046,146.92,NaN,,0,25.806452,,9-Aug,126,2018-04-16 19:52:03:170
0.0431,0.0072,9.7926,0.0493,0.0147,9.8065,-0.0014,0.0164,-0.0259,0,0.0012,0.0012,267,-9.4,24.4,-34.3,20.16,-0.09,-0.29,3.1,1009.36,39.792,30.44514,-84.30046,146.92,NaN,,0,25.806452,,9-Aug,226,2018-04-16 19:52:03:270
0.0503,-0.0024,9.7686,0.0491,0.0139,9.8065,0.001,-0.017,-0.0379,-0.0012,-0.0012,0,269,-9.6,24.4,-33.6,20.16,-0.09,-0.29,3.1,1009.36,39.792,30.44514,-84.30046,146.92,NaN,,0,25.806452,,9-Aug,326,2018-04-16 19:52:03:370
0.0383,0,9.7734,0.0491,0.0139,9.8065,0.0109,-0.0184,-0.0379,-0.0012,-0.0012,0,269,-10.3,24.5,-32.5,21.45,-0.08,-0.29,3.1,1009.36,39.792,30.445145,-84.30046,143.47,NaN,,0,38.709675,,9-Aug,426,2018-04-16 19:52:03:470
0.0479,0.0311,9.7734,0.0489,0.0133,9.8065,0.0038,-0.0014,-0.0235,-0.0024,0.0012,0,267,-10.3,24.5,-32.5,21.45,-0.08,-0.29,3.1,1009.36,40.072,30.445145,-84.30046,143.47,NaN,,0,38.709675,,9-Aug,527,2018-04-16 19:52:03:571
0.0551,0,9.7782,0.0488,0.0131,9.8065,0.0063,-0.0127,-0.0283,-0.0012,0.0024,0.0012,267,-10.9,24.4,-31.5,24.28,-0.08,-0.29,3.1,1009.35,40.072,30.445145,-84.30046,143.47,NaN,,0,38.709675,,9-Aug,627,2018-04-16 19:52:03:671
0.0215,0,9.7806,0.0487,0.0127,9.8065,0.0063,-0.0127,-0.0283,-0.0012,0,0.0024,267,-10.9,24.5,-31.3,24.28,-0.08,-0.29,3.1,1009.35,40.072,30.445145,-84.30046,143.47,NaN,,0,38.709675,,9-Aug,726,2018-04-16 19:52:03:770
0.0383,0.012,9.771,0.0486,0.0127,9.8065,0.0136,0.0065,-0.0115,0,0.0012,0.0012,267,-10.8,24.4,-31.3,24.28,-0.07,-0.28,3.1,1009.35,38.883,30.445145,-84.30046,143.47,NaN,,0,38.709675,,9-Aug,826,2018-04-16 19:52:03:870
0.0455,0.012,9.7878,0.0486,0.0127,9.8065,0.0017,0.0353,-0.0211,0,0.0012,0.0012,267,-10.8,24.5,-31.6,24.28,-0.07,-0.28,3.1,1009.35,38.883,30.445145,-84.30046,143.47,NaN,,0,38.709675,,9-Aug,927,2018-04-16 19:52:03:971
