ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.571451,5.667248,8.870789,0.617984,5.614101,8.016874,2.226415,0.012445,-0.137315,0.483805,-0.222355,-1.246165,137,-54,-27.7,-47.7,84.1422,-30.8684,-9.1513,3.15,1010.2842,37.86307,30.445263,-84.300545,98.8026,NaN,,0,103.22581,,0 / 2,22,2018-04-16 21:16:53:033
3.895485,4.309695,6.543553,0.617984,5.614101,8.016874,2.226415,0.012445,-0.137315,0.483805,-0.222355,-1.246165,146,-50.9,-31.8,-46.9,86.5672,-34.9233,-4.408,3.15,1010.2842,37.86307,30.445263,-84.300545,98.8026,NaN,,0,103.22581,,7-Jul,121,2018-04-16 21:16:53:132
-2.121327,5.016006,9.244295,-1.171748,6.671845,7.091103,-0.286365,-0.394056,0.165944,2.257758,2.723237,-2.433687,146,-27.8,-50.7,-39.5,112.8284,-42.8702,9.3829,0,1010.2917,37.86307,30.445263,-84.300545,98.8026,NaN,,0,103.22581,,7-Jul,221,2018-04-16 21:16:53:232
-9.126976,7.905895,1.94894,-3.71717,7.619706,4.928781,-2.993981,-0.566172,-1.090758,2.912606,-0.036652,-1.615128,85,-20.9,-61.5,-27.7,132.5393,-50.9862,37.0227,0,1010.2917,39.34158,30.445263,-84.300545,98.8026,NaN,,0,103.22581,,7-Jul,322,2018-04-16 21:16:53:333
-6.395108,6.639324,0.21309,-4.397242,8.304488,2.805319,-1.997866,-1.665164,-2.592229,1.390329,0.312763,-0.117286,85,-18.5,-66.6,-23.2,142.5905,-57.8678,57.4633,0,1010.2971,39.34158,30.445263,-84.300545,98.8026,NaN,,0,103.22581,,7-Jul,422,2018-04-16 21:16:53:433
-4.12773,9.854836,1.515576,-5.492301,8.10291,0.589532,-0.938721,5.331366,-3.647021,2.459344,0.561996,-0.411723,84,-18.5,-66.6,-23.2,142.5905,-57.8678,57.4633,0,1010.2971,39.34158,30.445263,-84.300545,98.8026,NaN,,0,103.22581,,7-Jul,521,2018-04-16 21:16:53:532
-3.885908,8.08786,-0.031126,-5.754756,7.92877,0.432926,-1.286806,-2.42912,-0.250962,1.138653,-2.532647,-0.540005,84,-12.2,-69.6,-13.9,142.5905,-57.8678,57.4633,0,1010.4189,39.34158,30.445263,-84.300545,98.8026,NaN,,0,103.22581,,7-Jul,622,2018-04-16 21:16:53:633
-7.348029,4.759819,0.818842,-5.754756,7.92877,0.432926,-1.286806,-2.42912,-0.250962,1.138653,-2.532647,-0.540005,49,-12.2,-70.5,-13.4,164.5264,-53.9507,85.6978,0,1010.4189,60.90334,30.445263,-84.300545,98.8026,NaN,,0,103.22581,,7-Jul,721,2018-04-16 21:16:53:732
-7.479714,1.977671,-4.316877,-5.668749,7.997731,-0.267414,-1.810965,-6.020059,-4.049463,2.25898,-4.713436,-1.076345,49,-15.8,-73,-5.7,174.608,-54.6411,92.7008,0,1010.4189,60.90334,30.445263,-84.300545,98.8026,NaN,,0,103.22581,,7-Jul,821,2018-04-16 21:16:53:832
-4.446168,5.604997,-2.954535,-6.426224,7.404519,-0.216073,0.086185,-0.367745,3.410035,-0.191812,0.443488,0.207694,44,-14.8,-72.1,-3.7,176.5898,-49.03,91.9258,0,1010.5886,60.90334,30.445263,-84.300545,98.8026,NaN,,0,103.22581,,7-Jul,921,2018-04-16 21:16:53:932
