ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.181965,3.948159,8.691217,-0.248827,3.993034,8.953443,-0.457484,0.378912,-2.014834,-0.401949,0.356745,-0.205251,2,-16.7,8.4,-35.4,44.7362,-21.018,-2.558,3.15,1010.0649,39.71831,30.445732,-84.30132,138.4998,89.25398504,,1.2933,77.41936,155.6982,12-Nov,39,2018-04-16 20:54:19:110
0.308861,2.257801,9.584282,-0.692474,3.576944,9.104742,0.299813,-0.517061,-0.526055,-0.133169,-0.613309,-0.658513,2,-15.5,6.2,-36.1,44.0792,-21.392,4.3493,3.15,1010.0769,39.71831,30.445732,-84.30132,138.4998,89.25398504,,1.2933,77.41936,155.6982,12-Nov,138,2018-04-16 20:54:19:209
-0.948133,3.510007,9.186832,-0.452957,3.136122,9.280622,0.452957,-0.114547,0.377883,-0.133169,-0.613309,-0.658513,2,-15.6,4.7,-35.9,47.9689,-18.6506,2.7942,3.15,1010.0769,39.71831,30.445732,-84.30132,138.4998,89.25398504,,1.2933,77.41936,155.6982,12-Nov,238,2018-04-16 20:54:19:309
-0.256187,2.990449,8.734315,-0.452957,3.136122,9.280622,0.452957,-0.114547,0.377883,-0.161268,0.328646,-0.265116,2,-15.6,4.7,-35.9,47.9689,-18.6506,2.7942,3.15,1010.082,39.95757,30.445732,-84.30132,138.4998,89.25398504,,1.2933,77.41936,155.6982,12-Nov,338,2018-04-16 20:54:19:409
0.622511,3.438179,8.839663,-0.829665,2.915481,9.326414,0.527987,0.635228,-0.620831,0.232129,-1.684766,0.262672,2,-16.5,4.9,-34.7,52.2956,-17.2953,5.0836,3.15,1010.082,39.95757,30.445732,-84.30132,138.4998,89.25398504,,1.2933,77.41936,155.6982,12-Nov,438,2018-04-16 20:54:19:509
3.572258,1.079818,7.690411,1.962881,3.236615,9.046645,1.45375,-0.82558,-0.784003,-0.401949,-0.603535,-0.544892,2,-18.1,5.1,-33.5,52.2956,-17.2953,5.0836,3.15,1010.124,39.95757,30.445732,-84.30132,138.4998,89.25398504,,1.2933,77.41936,155.6982,12-Nov,538,2018-04-16 20:54:19:609
-2.042316,4.450957,8.593052,2.671386,2.969311,8.956409,-3.799089,1.302075,-0.679401,-0.907746,-0.227242,0.179594,2,-26.9,4.2,-27.3,55.1735,-19.2714,-12.2419,3.15,1010.124,39.83318,30.445732,-84.30132,138.4998,89.25398504,,1.2933,77.41936,155.6982,12-Nov,638,2018-04-16 20:54:19:709
2.334418,2.324841,7.110996,3.160697,2.436292,8.95795,0.105094,-0.702837,0.430002,-0.907746,-0.227242,0.179594,2,-28.9,5.3,-26.6,53.0308,-17.625,-16.608,3.15,1010.1067,39.83318,30.44572,-84.3013,61.5534,89.25398504,,0.451,103.22581,164.9087,13-Oct,747,2018-04-16 20:54:19:818
2.971295,2.561874,6.459754,3.160697,2.436292,8.95795,0.105094,-0.702837,0.430002,-0.386067,-0.189368,0.439823,2,-29.6,4.8,-25.8,53.0308,-17.625,-16.608,3.15,1010.1067,39.83318,30.44572,-84.3013,61.5534,89.25398504,,0.451,103.22581,164.9087,13-Oct,837,2018-04-16 20:54:19:908
2.607365,2.14527,6.723124,3.335795,1.830728,9.038323,0.564479,-0.305575,1.513246,0.309098,-1.53205,0.455705,0,-32.1,6.5,-22.8,59.5369,-10.7592,-20.2577,3.15,1010.0598,39.37389,30.44572,-84.3013,61.5534,89.25398504,,0.451,103.22581,164.9087,13-Oct,938,2018-04-16 20:54:20:009
4.400677,1.283331,8.277008,4.537493,1.789047,8.50769,-0.136816,-0.505715,-0.230682,0.679282,-2.217441,1.109331,0,-37,10.1,-13.5,60.3501,-10.5114,-28.0728,3.15,1010.0598,39.37389,30.44572,-84.3013,61.5534,89.25398504,,0.451,103.22581,164.9087,13-Oct,1037,2018-04-16 20:54:20:108
3.112557,-0.90743,3.802108,6.453432,1.323192,7.264482,-0.630555,-2.187525,-4.870207,0.679282,-2.217441,1.109331,0,-37,10.1,-13.5,60.3501,-10.5114,-28.0728,3.15,1010.0066,39.37389,30.44572,-84.3013,61.5534,89.25398504,,0.451,103.22581,164.9087,13-Oct,1138,2018-04-16 20:54:20:209
7.379155,-3.816474,6.804529,7.484756,-1.323048,6.196632,1.046045,-2.857355,0.967038,0.111177,-1.258382,3.342655,2,-38.7,19,-5.7,47.673,-7.7545,-41.6164,3.15,1010.0066,44.30585,30.44572,-84.3013,61.5534,89.25398504,,0.451,103.22581,164.9087,13-Oct,1238,2018-04-16 20:54:20:309
11.250697,-3.514795,6.172441,7.413417,-3.656722,5.276361,3.837281,0.141927,0.89608,1.12277,-1.591915,3.40252,2,-29.8,34.1,-1.7,30.056,7.7536,-50.3786,3.15,1010.0505,44.30585,30.44572,-84.3013,61.5534,89.25398504,,0.451,103.22581,164.9087,13-Oct,1338,2018-04-16 20:54:20:409
