ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,,,LABEL_DATA
-1.7961,5.102,8.1817,-2.0355,5.2368,8.0417,-0.3886,0.0195,0.2238,0.0766,-0.0493,-0.0381,16.903,20.71,-33.9,-22.98,225.8,-32.02,14.32,2,1006.02,38.007,,,,NaN,,,,,0 / 18,5,2018-04-26 01:05:55:339,,,
-1.7161,5.2115,8.2609,-1.9971,5.2597,8.0364,-0.3072,0.0011,0.0826,0.03,-0.0565,-0.0199,16.903,17.62,-32.46,-23.97,223.76,-32.42,13.96,2,1006.03,38.007,,,,NaN,,,,,0 / 18,104,2018-04-26 01:05:55:438,,,
-1.7388,5.232,8.0653,-1.9318,5.2626,8.0504,-0.0871,-0.0801,0.1752,0.0058,-0.0875,-0.0293,16.903,15.59,-30.83,-23.35,219.67,-32.48,13.83,2,1006.03,25.381,,,,NaN,,,,,0 / 18,204,2018-04-26 01:05:55:538,,,
-1.8116,5.2284,7.9646,-1.4853,5.2733,8.1377,0.1797,-0.017,0.0519,-0.0742,-0.3615,0.184,16.903,10.37,-30.75,-21.81,199.97,-32.3,12.68,2,1006.03,25.381,,,,NaN,,,,,0 / 18,304,2018-04-26 01:05:55:638,,,
-2.4133,5.6341,9.1413,-0.7438,5.5487,8.0557,0.1809,-0.0429,-0.9941,0.4561,-1.4137,0.5794,16.903,0.51,-33.61,-16.03,178.56,-34.45,5.28,2,1006.03,25.381,,,,NaN,,,,,0 / 18,404,2018-04-26 01:05:55:738,,,
2.0238,5.8774,5.5357,0.4254,4.8413,8.5215,-0.1392,-0.2176,1.3708,-1.0857,-0.8386,-0.1049,16.903,-5.08,-38.17,-14.46,170.63,-29.57,-2.86,2,1006.03,25.381,,,,NaN,,,,,0 / 18,505,2018-04-26 01:05:55:839,,,
0.4744,5.108,7.2186,0.6954,4.0351,8.9146,-0.8324,0.5971,-0.0246,-0.8851,0.0973,0.0017,16.903,2.29,-38.65,-20.87,187.65,-24.29,-4.46,2,1006.03,27.241,,,,NaN,,,,,0 / 18,604,2018-04-26 01:05:55:938,,,
0.497,3.7042,10.5002,0.6522,3.9494,8.9562,0.2772,0.2402,-1.1096,0.1419,-0.0105,-0.1943,16.903,7.75,-36.99,-26.5,200.89,-22.07,-3.17,2,1006.03,27.241,,,,NaN,,,,,0 / 18,705,2018-04-26 01:05:56:039,,,
1.2431,4.3278,8.8894,0.829,4.2903,8.7831,-0.3357,0.5109,0.427,0.1461,-0.1509,-0.3531,19.016,9.19,-38.28,-27.06,206.35,-25.3,-5.42,2,1006.03,27.241,,,,NaN,,,,,0 / 18,804,2018-04-26 01:05:56:138,,,
1.9092,4.3038,10.5494,0.5979,4.0293,8.9243,-0.4157,-0.4446,-0.085,-0.2149,0.128,0.0165,19.016,9.74,-37.7,-27.19,208.69,-25.93,-5.39,2,1006.02,32.616,,,,NaN,,,,,0 / 18,905,2018-04-26 01:05:56:239,,,
