ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,,,LABEL_DATA
-1.7352,6.666,7.1538,-2.155,6.6725,6.8608,0.2932,0.2345,-0.6988,-0.1383,0.0646,0.3347,11.621,6.36,-11.35,-43.33,18.78,-42.86,17.44,2,1006.08,34.983,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,5,2018-04-26 00:57:06:276,,,
-2.4204,6.365,7.6228,-2.0695,6.9765,6.5789,-0.8582,0.0069,0.5766,0.2092,0.7962,0.9529,10.564,8.31,-10.93,-43.7,13.92,-43.54,17.5,2,1006.09,34.983,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,104,2018-04-26 00:57:06:375,,,
-1.2673,6.938,6.1151,-1.9788,7.1473,6.4216,-0.4448,0.3593,0.4493,0.2515,0.3245,0.4794,10.564,9.08,-12.46,-43.26,9.75,-46.77,17.13,2,1006.09,34.983,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,205,2018-04-26 00:57:06:476,,,
-1.6982,7.2186,6.2962,-1.8728,7.1911,6.4045,0.1945,-0.2055,0.4715,-0.1059,-0.1031,-0.0537,10.564,9.86,-13.74,-41.79,5.66,-47.14,16.3,2,1006.09,34.983,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,304,2018-04-26 00:57:06:575,,,
-2.1375,7.3149,6.3214,-1.6748,7.3429,6.2859,0.7615,-1.0644,0.8655,-0.1199,-0.1738,-0.1727,10.564,8.93,-13.89,-42.58,8.53,-46.51,16.16,2,1006.1,24.516,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,404,2018-04-26 00:57:06:675,,,
-0.5236,9.4254,6.2578,-1.6292,7.2754,6.3758,-1.0131,-1.5039,-1.4443,-0.1432,-0.4252,-0.3407,10.564,8.93,-14.31,-42.03,5.3,-48.46,14.92,2,1006.09,24.516,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,505,2018-04-26 00:57:06:776,,,
-0.7397,8.6742,7.9982,-2.1873,7.1503,6.3502,0.196,0.4082,1.329,0.2553,-0.3334,-0.7678,10.564,8.83,-13.83,-42.89,9.72,-46.81,16.81,2,1006.09,24.516,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,604,2018-04-26 00:57:06:875,,,
-2.3226,7.4076,5.1039,-2.2185,7.0876,6.4094,0.3288,-0.498,1.4143,-0.0888,-0.4518,-0.4418,10.564,7.71,-13,-43.19,16.29,-46.26,19.09,2,1006.1,30.316,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,705,2018-04-26 00:57:06:976,,,
-2.3882,7.6664,5.5909,-2.3378,5.9744,7.4214,-0.0241,0.5809,0.8214,-1.0238,-0.3293,-0.7314,9.508,5.53,-10.59,-43.79,19.61,-42.1,17.55,2,1006.1,30.316,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,804,2018-04-26 00:57:07:075,,,
-3.2358,5.1249,6.6992,-2.5261,5.7015,7.5728,0.8406,0.1898,1.2874,-0.46,0.0719,-0.4245,9.508,6.26,-4.87,-45.32,21.37,-35.53,18.45,2,1006.09,30.316,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,905,2018-04-26 00:57:07:176,,,
-3.0591,4.7432,7.979,-2.5209,4.7028,8.2319,0.5866,0.6305,0.7633,-0.8785,-0.4614,-0.2889,9.508,5.74,-0.91,-45.34,19.86,-28.65,17.03,2,1006.08,24.478,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,1004,2018-04-26 00:57:07:275,,,
-3.5724,4.9334,7.1322,-1.7857,4.2511,8.6588,-0.2946,1.0014,0.288,-0.3267,-0.6681,0.9884,9.508,3.29,3.56,-45.02,21.72,-26.28,15.6,2,1006.07,24.478,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,1105,2018-04-26 00:57:07:376,,,
-2.9146,3.9703,8.3964,-1.0619,4.2604,8.7726,0.3213,0.0068,0.8845,-0.246,-0.7185,1.2183,9.508,1.8,3.68,-44.89,17.31,-25.68,11.65,2,1006.07,24.478,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,1204,2018-04-26 00:57:07:475,,,
-1.3879,5.0273,8.412,-0.191,3.5384,9.1476,1.0915,-0.8272,0.4871,-0.7816,-0.4189,0.6704,9.508,-0.21,6.76,-45.52,6.98,-23.85,3.81,2,1006.08,24.478,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,1304,2018-04-26 00:57:07:575,,,
0.3263,5.0875,10.2171,-0.142,3.3874,9.2055,0.1682,-2.5454,-0.4465,-0.249,0.1915,0.6496,9.508,-0.47,9.41,-43.73,1.64,-20.2,0.88,2,1006.08,27.106,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,1405,2018-04-26 00:57:07:676,,,
-0.6084,5.9797,9.5502,-0.2599,3.1939,9.2719,0.8077,0.5463,-0.6617,-0.1553,0.4201,0.9475,9.508,2.83,10.58,-44.15,355.92,-19,1.61,2,1006.1,27.106,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,1504,2018-04-26 00:57:07:775,,,
-1.6994,2.5315,10.89,0.1056,3.2204,9.2658,-0.0067,0.1308,-1.8691,-0.0923,0.5227,2.1137,16.903,4.1,10.11,-44.75,351.54,-19.29,0.49,2,1006.1,27.106,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,1605,2018-04-26 00:57:07:876,,,
0.6104,3.5344,12.0943,-0.1387,3.1811,9.2789,1.683,-0.7626,0.9429,-0.0078,1.0652,2.164,16.903,9.88,9.62,-44.3,338.55,-18.92,0.86,2,1006.1,35.465,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,1704,2018-04-26 00:57:07:975,,,
-0.7325,4.0786,8.773,0.9827,2.9998,9.2883,0.1824,-1.5289,1.6537,-0.4626,-1.4337,0.2987,16.903,9.99,9.15,-43.9,326.03,-17.81,-6.04,2,1006.1,35.465,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,1805,2018-04-26 00:57:08:076,,,
-2.7714,3.1407,9.2948,2.6223,3.0739,8.9393,-2.8268,0.8916,1.3681,0.2696,-2.4371,1.1559,16.903,4.85,7.93,-44.64,335.34,-17.81,-6.04,2,1006.09,35.465,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,1904,2018-04-26 00:57:08:175,,,
3.7046,1.2589,8.1997,3.5029,2.8928,8.6947,-0.1894,-0.1134,0.3858,-8.00E-04,0.1888,-0.308,16.903,-5.06,9.69,-44.01,330.27,-16.76,-22.84,2,1006.09,31.885,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,2005,2018-04-26 00:57:08:276,,,
4.2191,1.7393,9.5083,4.2649,3.0089,8.3062,-3.1026,1.0153,-1.0065,0.5994,-0.4035,0.352,16.903,-5.04,7.74,-43.8,328,-18.62,-23.79,2,1006.09,31.885,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,2104,2018-04-26 00:57:08:375,,,
5.4331,1.0627,8.2956,4.2006,2.8764,8.3855,-1.5563,1.956,-1.2506,0.1491,0.4232,0.6661,16.903,-4.88,7.53,-44.26,322.48,-17.05,-26.61,2,1006.03,31.885,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,2205,2018-04-26 00:57:08:476,,,
5.2624,0.2151,10.6873,3.6563,2.6073,8.7218,-0.2729,1.898,-0.2205,-0.3031,0.2848,-0.0464,17.959,-3.02,6.58,-45.01,320.27,-16.44,-23.97,2,1006.03,34.034,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,2305,2018-04-26 00:57:08:576,,,
3.3262,1.2035,9.1508,3.4865,2.5195,8.8166,0,0.9473,0.1921,-0.1961,0.218,-0.1964,17.959,-1.46,8.41,-45.61,319.64,-14.88,-21.58,2,1006.02,34.034,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,2405,2018-04-26 00:57:08:676,,,
2.7365,2.3208,6.7304,3.8339,1.2971,8.9361,-0.5417,3.0872,3.5219,-1.7853,-0.2549,-0.0711,17.959,-3.46,13.19,-44.46,321.57,-7.6,-23.22,2,1006.09,34.034,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,2504,2018-04-26 00:57:08:775,,,
5.4176,-0.2774,3.2328,4.3724,0.9359,8.7317,0.187,4.5031,3.785,-0.456,-0.9466,0.1145,17.959,-4.94,16.3,-41.8,323.99,-5.47,-26.6,2,1006.09,35.547,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,2605,2018-04-26 00:57:08:876,,,
5.3627,-4.5876,6.0827,5.871,0.3907,7.8495,2.6814,6.9742,5.1062,1.0881,-2.6554,2.4073,17.959,-6.56,15.96,-41.13,325.43,-4.05,-27.79,2,1006.11,35.547,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,2704,2018-04-26 00:57:08:975,,,
9.9728,-10.3209,9.2576,6.8658,-2.9901,6.3369,-3.6574,11.7022,-6.0236,0.7979,-0.0881,5.3389,17.959,-15.01,18.74,-37.84,307.29,5.52,-51.43,2,1006.11,35.547,30.453472,-84.318726,90.83,NaN,,0,48.412903,,17-Aug,2804,2018-04-26 00:57:09:075,,,
8.0951,-12.3267,7.9178,6.1025,-6.1451,4.6079,-20.7485,-2.928,-6.4981,1.1438,-4.4682,7.9549,17.959,-11.49,25.14,-36.51,270.05,38.79,-52.94,2,1006.11,35.547,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,2904,2018-04-26 00:57:09:175,,,
26.2433,-3.7267,11.2535,4.0741,-6.1886,6.4295,-9.5729,-0.5531,5.6748,0.9284,2.7033,-1.7381,16.903,-8.15,21.3,-40.21,242.47,44.72,-40.09,0,1006.1,36.434,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,3005,2018-04-26 00:57:09:276,,,
3.319,-10.7711,-3.5596,3.9782,-5.911,6.7432,2.9004,1.7478,8.7752,-1.0085,2.4677,-2.5381,16.903,0.11,20.34,-41.62,254.71,37.05,-30.54,0,1006.08,36.434,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,3104,2018-04-26 00:57:09:375,,,
9.0071,-3.6677,7.0578,6.4742,-3.9935,6.1947,3.6844,4.2055,1.5128,-3.5508,2.3523,-6.036,16.903,-8.83,22.43,-38.77,286.42,24.02,-46.26,0,1006.08,36.434,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,3205,2018-04-26 00:57:09:476,,,
9.0071,-3.6677,7.0578,7.2636,-3.4565,5.6151,5.6197,0.098,7.8102,-1.7371,-0.736,-2.9239,16.903,-11.1,27.57,-36.03,305.26,20.63,-52.29,0,1006.11,42.345,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,3304,2018-04-26 00:57:09:575,,,
9.0071,-3.6677,7.0578,7.2636,-3.4565,5.6151,5.6197,0.098,7.8102,-1.7371,-0.736,-2.9239,16.903,-11.1,27.57,-36.03,305.26,20.63,-52.29,0,1006.11,42.345,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,3405,2018-04-26 00:57:09:676,,,
9.0071,-3.6677,7.0578,7.2636,-3.4565,5.6151,5.6197,0.098,7.8102,-1.7371,-0.736,-2.9239,16.903,-11.1,27.57,-36.03,305.26,20.63,-52.29,0,1006.11,42.345,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,3505,2018-04-26 00:57:09:776,,,
7.1545,-7.5192,-5.4692,4.1332,-8.7616,-1.5451,3.085,-4.0188,-2.5218,3.0755,-4.3765,4.6395,16.903,-13.01,42.43,-16.78,303.07,63.27,-110.5,0,1006.12,51.271,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,3604,2018-04-26 00:57:09:875,,,
0.3383,-5.1474,1.8007,5.5408,-8.091,-0.267,7.8481,5.6048,2.6701,-1.9763,0.53,-4.5508,1.056,-7.98,39.37,-24.01,273.53,70.83,-79.84,0,1006.12,51.271,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,3705,2018-04-26 00:57:09:976,,,
-5.0383,-13.9966,-1.2999,6.5287,-7.2054,-1.3017,0.0167,-4.2623,3.9952,-1.2633,-1.1792,-1.8846,1.056,-22.42,37.48,-17.06,299.16,47.26,-101.28,0,1006.12,51.271,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,3805,2018-04-26 00:57:10:076,,,
6.7498,-4.5635,-4.7303,2.9629,-8.207,-4.4835,-4.2711,-5.5049,-7.9655,-0.1315,-2.3205,1.9613,1.056,-20.34,43.02,-3.22,311.85,56.78,-146.54,0,1006.14,52.453,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,3905,2018-04-26 00:57:10:176,,,
4.0663,-7.2495,-2.3038,4.0973,-8.9043,-0.4032,1.5781,-0.4096,2.1717,1.5487,5.418,2.2677,1.056,-11.7,43.57,-14.58,299.09,65.19,-95.62,0,1006.14,52.453,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,4005,2018-04-26 00:57:10:276,,,
2.7114,-8.3849,-2.8112,0.6508,-9.7301,1.0667,-11.8673,2.8774,4.1676,1.5318,3.3485,5.7221,1.056,2.73,41.14,-20.36,231.94,82.68,-31.39,0,1006.15,52.453,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,4104,2018-04-26 00:57:10:375,,,
-2.1602,-9.6527,1.7503,1.0369,-9.6676,1.3034,2.4469,-3.2116,-0.8595,-0.4673,-0.5066,-1.67,1.056,15.2,38.39,-20.96,226.02,80.61,-0.07,0,1006.13,52.453,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,4205,2018-04-26 00:57:10:476,,,
-4.3101,-14.176,-2.6049,0.9763,-9.6338,1.5724,1.4293,-8.4767,-4.0346,0.8217,-3.2644,0.8235,1.056,9.96,38.5,-25.19,248.58,79.12,-31.84,0,1006.13,68.358,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,4305,2018-04-26 00:57:10:576,,,
-0.7647,-19.099,5.6389,-2.7599,-9.3521,-1.0757,-7.1733,-4.3034,-1.4373,-1.8826,4.4246,3.3088,0.946,16.31,37.6,-19.79,171.19,83.4,45.91,0,1006.13,68.358,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,4405,2018-04-26 00:57:10:676,,,Out
4.2179,-5.0511,0.5784,-2.8443,-9.2807,1.4193,1.3248,1.559,-1.971,1.0839,-3.0101,-0.1231,0.946,29.41,33.67,-15.97,140.16,71.7,87.33,0,1006.14,68.358,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,4504,2018-04-26 00:57:10:775,,,Out
-6.0231,-5.6434,-0.9437,-3.4819,-9.0738,1.3338,2.0191,-0.2379,3.6944,-1.2254,-2.9923,1.6379,0.946,23.21,32.27,-25.3,136.58,67.66,69.04,0,1006.14,61.685,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,4605,2018-04-26 00:57:10:876,,,Out
1.9916,-14.9429,-4.5348,-4.2613,-8.7931,-0.8708,3.4759,2.4867,3.0978,-0.0396,0.9771,-0.4509,0.946,25.98,35.12,-16.2,102.01,63.68,101.55,0,1006.1,61.685,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,4704,2018-04-26 00:57:10:975,,,Out
-4.642,-13.4849,-4.8658,-3.8779,-9.0064,-0.2879,-0.1151,2.3171,-4.2186,-0.1582,-2.1116,-0.8239,0.946,24.37,34.79,-19.56,107.24,66.65,94.25,0,1006.1,61.685,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,4805,2018-04-26 00:57:11:076,,,Out
-3.3205,-11.4911,3.2076,-1.9774,-9.3841,-2.0652,3.7853,-3.2308,-12.5881,-1.099,-0.463,-2.2824,0.946,17.54,41.31,-15.18,66,73.05,136.24,0,1006.1,55.157,30.453472,-84.318726,90.83,NaN,,0,48.412903,,0 / 17,4905,2018-04-26 00:57:11:176,,,Out
