ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,,,LABEL_DATA
-0.3242,3.2346,9.278,0.2918,3.8314,9.0261,0.0183,0.032,0.1697,0.0627,0.0289,0.3635,12.677,14.85,-15.22,-29.55,261.52,-22.81,-1.4,2,1015.26,64.225,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,4,2018-04-20 21:51:21:639,,,
0.3347,3.6656,8.7322,0.1948,3.7565,9.0602,-0.4497,0.4678,-0.3338,-0.1227,0.302,0.3004,12.677,14.35,-15.76,-29.73,257.95,-22.99,-1.85,2,1015.26,48.058,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,104,2018-04-20 21:51:21:739,,,
0.3538,3.1046,10,0.2892,3.6982,9.0816,0.0387,0.5733,-0.3573,0.0929,-0.1564,-0.0253,12.677,14.35,-15.28,-31.1,260.29,-21.84,-1.29,2,1015.26,48.058,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,204,2018-04-20 21:51:21:839,,,
0.8683,3.4778,8.9961,0.1276,3.4077,9.1982,-0.1118,0.1926,-0.6193,-0.4986,0.326,0.0963,12.677,14.57,-14.78,-30.98,257.68,-20.33,-0.79,2,1015.26,48.058,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,303,2018-04-20 21:51:21:938,,,
0.0172,3.1082,9.2624,0.2451,3.3516,9.2164,0.1761,-0.0072,0.3255,0.2374,-0.3991,-0.5356,12.677,14.58,-13.28,-31.71,264.86,-19.98,-1.52,2,1015.25,48.058,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,404,2018-04-20 21:51:22:039,,,
-0.4938,3.1106,8.9122,0.398,3.0185,9.3256,0.024,0.7227,-0.7706,-0.3821,-0.3235,0.1509,12.677,14.3,-13.37,-31.87,263.16,-19.35,-1.12,2,1015.25,44.027,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,503,2018-04-20 21:51:22:138,,,
0.8719,2.7663,10.0696,0.3621,3.2261,9.2573,0.0171,0.3029,0.2113,0.3472,-0.0363,-0.2973,12.677,14.1,-12.84,-32.47,262.74,-19.2,-2.24,2,1015.25,44.027,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,604,2018-04-20 21:51:22:239,,,
1.0079,2.735,9.7518,0.2979,2.8445,9.3838,-0.0948,0.9329,0.391,-0.5513,-0.0686,-0.1799,12.677,15.06,-11.92,-32.08,261.65,-16.86,-1.82,2,1015.25,44.027,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,703,2018-04-20 21:51:22:338,,,
0.2989,2.0234,9.0621,0.1165,2.5152,9.4814,-2.6659,-0.1137,0.027,-0.5349,0.4042,0.3252,14.79,15.07,-10.38,-33.01,269.48,-16.86,-1.82,2,1015.26,43.31,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,804,2018-04-20 21:51:22:439,,,
2.8582,3.6187,6.9067,0.3321,2.8136,9.392,-2.4186,0.2201,1.9841,0.0861,-0.7731,-0.8956,14.79,16.13,-9.88,-32.06,267.7,-16.27,-0.11,2,1015.25,43.31,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,904,2018-04-20 21:51:22:539,,,
2.7377,1.7393,9.6558,0.6902,2.5699,9.4422,0.0216,0.973,-0.2588,-0.437,-0.8126,-0.8304,14.79,13.2,-8.11,-34.98,274.33,-15.19,-4.18,2,1015.25,43.31,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,1004,2018-04-20 21:51:22:639,,,
0.3287,0.2632,11.7884,1.6114,2.3324,9.3915,0.7878,0.8705,-1.3952,-0.3848,-0.0258,-0.2758,14.79,11.46,-6.4,-37.37,277.99,-13.75,-9.74,2,1015.25,44.08,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,1104,2018-04-20 21:51:22:739,,,
0.9542,2.0451,10.9428,1.8359,2.4533,9.3192,0.4,0.0754,-0.3682,0.3314,-0.4072,-0.0553,14.79,11.89,-6.79,-36.5,273.5,-13.29,-9.7,2,1015.25,44.08,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,1204,2018-04-20 21:51:22:839,,,
1.2168,2.3485,9.4855,1.7192,2.4143,9.3515,0.0292,-0.1599,-0.2031,-0.088,0.1619,-0.1157,14.79,10.69,-6.36,-37.38,278.61,-14.25,-10.42,2,1015.25,44.08,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,1303,2018-04-20 21:51:22:938,,,
1.3613,2.2353,9.1736,1.4301,2.537,9.3677,-0.0402,0.3528,-0.4398,-0.0227,0.2613,-0.291,14.79,11.71,-5.92,-36.48,279.64,-14.99,-8.68,2,1015.26,44.08,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,1404,2018-04-20 21:51:23:039,,,
1.4783,2.1487,9.9113,1.2785,2.6002,9.3723,-0.5403,0.4589,-0.2362,0.0921,0.2181,-0.1403,15.847,13.86,-6.24,-35.74,279.6,-15.37,-7.77,2,1015.24,40.707,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,1504,2018-04-20 21:51:23:139,,,
1.6991,1.9476,9.7554,1.1955,2.6444,9.3709,-0.338,0.3776,0.2086,-0.0335,0.1722,-0.0642,15.847,13.25,-6.14,-36.41,280.82,-15.74,-7.94,2,1015.24,40.707,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,1604,2018-04-20 21:51:23:239,,,
1.6036,2.2691,9.1964,1.2207,2.6813,9.3572,-0.2025,0.4064,0.3586,-0.0119,0.0127,-0.0843,15.847,12.75,-5.82,-35.95,281.31,-15.88,-7.56,2,1015.25,40.707,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,1704,2018-04-20 21:51:23:339,,,
1.6311,1.9067,9.1496,1.2514,2.6899,9.3507,-0.4156,0.7409,1.8119,0.0218,-0.0524,-0.0274,15.847,13.67,-6.12,-36.15,280.64,-15.91,-7.62,2,1015.25,47.774,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,1804,2018-04-20 21:51:23:439,,,
1.6705,1.9428,7.6359,2.1613,2.6882,9.1836,-0.0142,1.5848,1.8209,0.1258,-1.0296,0.2477,15.847,12.18,-5.69,-36.22,280.64,-15.69,-9.23,2,1015.25,47.774,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,1904,2018-04-20 21:51:23:539,,,
2.4977,0.6353,8.4144,3.0687,2.7713,8.896,0.8565,2.8192,1.6897,0.4331,-1.3262,0.8597,15.847,5.34,-8.5,-37.73,276.71,-16.41,-19.03,2,1015.25,47.774,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,2004,2018-04-20 21:51:23:639,,,
1.6299,0.3355,2.3632,7.8911,2.1133,5.4314,1.7926,3.0497,0.3488,1.3577,-6.1422,3.0998,15.847,-15.76,-12.52,-34.07,253.24,-12.44,-55.46,2,1015.25,55.623,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,2104,2018-04-20 21:51:23:739,,,
12.8891,1.5081,7.2629,9.5618,0.5559,2.1211,-5.1281,-0.1272,0.4926,2.4785,-5.5821,3.7692,29.58,-33.46,-11.59,-22.88,237.18,-3.25,-77.49,2,1015.26,55.623,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,2204,2018-04-20 21:51:23:839,,,
14.8636,-0.3195,0.0087,9.3872,-1.7256,-2.2668,-6.9564,-0.2229,0.745,2.6517,-3.3393,1.1023,29.58,-46.22,-5.65,3.32,175.24,4.82,-92.71,0,1015.25,55.623,30.453497,-84.31869,57.44,NaN,,0,58.7871,,0 / 19,2303,2018-04-20 21:51:23:938,,,
11.1582,-1.3958,-7.5754,9.2027,-1.4577,-3.0694,-1.4241,0.154,-0.8172,-0.6649,-0.3315,-0.6134,29.58,-48.05,-4.34,11.18,194.32,11.35,-106.95,0,1015.27,53.093,30.453497,-84.31869,57.44,NaN,,0,58.7871,,19-Sep,2404,2018-04-20 21:51:24:039,,,
6.9849,-2.4662,-2.3134,9.1289,-1.3289,-3.3367,-1.1872,0.33,-1.242,-0.0158,-0.4699,-0.2203,29.58,-45.88,-7.19,13.24,194.97,7.79,-110.08,0,1015.27,53.093,30.453497,-84.31869,57.44,NaN,,0,58.7871,,19-Sep,2504,2018-04-20 21:51:24:139,,,
9.1253,-1.7257,-2.4226,9.2898,-0.8707,-3.0295,1.6057,0.8649,1.0137,-0.0639,0.5708,-0.1722,29.58,-44.87,-7.6,13.45,194.55,5.7,-110.12,0,1015.28,53.093,30.453497,-84.31869,57.44,NaN,,0,58.7871,,19-Sep,2603,2018-04-20 21:51:24:238,,,
7.6331,-1.8028,-3.8979,9.3348,-1.0266,-2.8363,-0.4556,-0.6709,-0.3507,0.3616,0.2964,0.1521,29.58,-45.36,-7.7,11.3,191.3,6.01,-106.9,0,1015.28,47.346,30.453497,-84.31869,57.44,NaN,,0,58.7871,,19-Sep,2704,2018-04-20 21:51:24:339,,,
