ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,,,LABEL_DATA
1.1054,6.7914,4.8514,0.1099,7.5154,6.3042,-0.9713,0.603,1.246,-0.9184,-0.7279,-0.7769,8.452,-19.53,-26.54,-12.68,106.16,-52.15,-2.5,2,1013.54,64.665,30.453472,-84.31873,165.6,154.7645462,,0,55.329033,,0 / 18,5,2018-04-21 23:50:40:189,,,
0.6547,7.0141,7.9412,0.2035,6.9942,6.8758,-0.917,0.0527,-2.2867,-0.9534,-0.6918,-0.2991,8.452,-19.01,-25.83,-14.44,111.8,-46.2,-2.14,2,1013.53,37.348,30.453472,-84.31873,165.6,154.7645462,,0,55.329033,,0 / 18,105,2018-04-21 23:50:40:289,,,
-0.2757,7.3271,6.8949,0.2523,7.0814,6.7843,-0.2737,0.3885,-0.5095,0.2199,-0.3273,-0.2225,8.452,-18.32,-26.64,-13.73,114.89,-46.21,-2.13,2,1013.53,37.348,30.453472,-84.31873,165.6,154.7645462,,0,55.329033,,0 / 18,206,2018-04-21 23:50:40:390,,,
1.004,8.0517,6.2195,0.2911,7.301,6.5457,-1.5291,-0.3014,-0.4839,0.2837,-0.1401,-0.1119,8.452,-17.69,-27.3,-12.71,115.38,-47.24,-2.09,2,1013.53,37.348,30.453472,-84.31873,165.6,154.7645462,,0,55.329033,,0 / 18,305,2018-04-21 23:50:40:489,,,
0.9809,6.5521,7.34,0.1369,7.5176,6.301,-0.8554,-0.09,0.1168,0.4593,0.1058,-0.159,8.452,-16.16,-28.48,-10.47,122.52,-50.02,-1.24,2,1013.52,30.114,30.453472,-84.31873,165.6,154.7645462,,0,55.329033,,0 / 18,406,2018-04-21 23:50:40:590,,,
-0.3102,7.3808,7.1743,0.3132,8.058,5.5863,0.9052,0.3245,-1.2919,0.7993,-0.2259,-0.0555,8.452,-16.28,-30.83,-6.19,127.56,-55.23,-3.21,2,1013.52,30.114,30.453472,-84.31873,165.6,154.7645462,,0,55.329033,,0 / 18,505,2018-04-21 23:50:40:689,,,
-0.6786,9.0034,4.6181,0.4511,8.5485,4.7912,0.478,-1.0357,0.4563,0.7829,-0.3518,-0.0447,8.452,-16.1,-30.8,-2.15,127.7,-60.62,-5.38,2,1013.51,30.114,30.453472,-84.31873,165.6,154.7645462,,0,55.329033,,0 / 18,606,2018-04-21 23:50:40:790,,,
-0.4736,8.4803,4.2428,0.3137,8.6341,4.6465,0.8052,0.2684,0.7892,0.0662,0.2403,-0.0967,8.452,-16.36,-31.61,-1.82,128.27,-61.66,-3.86,2,1013.49,31.319,30.453472,-84.31873,165.6,154.7645462,,0,55.329033,,0 / 18,705,2018-04-21 23:50:40:889,,,
0.6885,7.3071,4.1229,0.3542,8.6552,4.6042,-0.4667,1.4117,0.2577,0.1469,-0.3275,-0.124,9.508,-15.05,-32.01,0.24,133.47,-62.08,-3.42,2,1013.49,31.319,30.453472,-84.31873,165.6,154.7645462,,0,55.329033,,0 / 18,805,2018-04-21 23:50:40:989,,,
1.3045,7.8891,4.0147,0.6978,8.4119,4.9989,-0.303,-0.4061,0.6668,-0.5869,0.0964,0.5929,9.508,-17.69,-29.99,-2.98,121.7,-59.03,-7.95,2,1013.5,31.319,30.453472,-84.31873,165.6,154.7645462,,0,55.329033,,0 / 18,906,2018-04-21 23:50:41:090,,,
