ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,,,LABEL_DATA
-0.2932,4.7336,8.4192,-0.2024,4.8899,8.502,-0.0721,0.0741,0.1505,-0.0203,-0.21,0.0286,8.452,-38.01,47.76,-91.56,25.19,-29.92,1.8,5,1006.09,42.179,30.453608,-84.31851,156.79,142.4569661,,0.61,58.7871,82.2,0 / 17,5,2018-04-26 00:40:32:066,,,
-0.5141,4.99,8.1853,-0.1869,4.7567,8.5776,0.293,-0.1493,0.119,-0.4232,-0.0485,-0.0092,7.395,-37.29,49.05,-91.31,24.24,-29,1.25,5,1006.1,42.179,30.453608,-84.31851,156.79,142.4569661,,0.61,58.7871,82.2,0 / 17,105,2018-04-26 00:40:32:166,,,
-0.5511,4.571,9.0921,-0.0825,4.5131,8.7099,0.0945,0.0063,-0.568,-0.2372,-0.0761,-0.0469,7.395,-37.52,49.77,-90.99,24.83,-27.35,1.1,5,1006.1,25.463,30.453608,-84.31851,156.79,142.4569661,,0.61,58.7871,82.2,0 / 17,205,2018-04-26 00:40:32:266,,,
0.0924,4.8263,8.9373,0.3631,4.5712,8.6723,0.2195,0.0019,-0.0379,0.018,-0.3765,0.0201,7.395,-39.48,49.65,-90.26,23.12,-27.98,-1.23,5,1006.1,25.463,30.453608,-84.31851,156.79,142.4569661,,0.61,58.7871,82.2,0 / 17,305,2018-04-26 00:40:32:366,,,
-0.3445,4.8383,8.2872,0.4944,4.3614,8.7732,0.6545,0.2377,0.3064,-0.2845,-0.341,-0.1001,7.395,-41.1,50,-91.1,22.56,-26.4,-3.23,5,1006.1,25.463,30.453608,-84.31851,156.79,142.4569661,,0.61,58.7871,82.2,0 / 17,405,2018-04-26 00:40:32:466,,,
0.7787,4.3676,9.5455,0.2793,4.4473,8.7395,-0.0373,0.2491,0.7452,0.121,-0.0967,-0.881,7.395,-41.82,49.77,-90.56,22.92,-25.53,-3.65,5,1006.09,25.463,30.453608,-84.31851,156.79,142.4569661,,0.61,58.7871,82.2,0 / 17,505,2018-04-26 00:40:32:566,,,
0.7047,4.3495,7.9886,0.3186,4.542,8.6894,-0.7565,0.1056,0.9952,-0.3846,-1.2487,-0.7699,7.395,-42.27,47.44,-89.96,24.72,-27.58,-2.1,5,1006.09,23.55,30.453608,-84.31851,156.79,142.4569661,,0.61,58.7871,82.2,0 / 17,605,2018-04-26 00:40:32:666,,,
0.2631,4.0341,9.5946,0.9379,4.3334,8.7509,-0.9932,0.0286,-0.5887,-0.175,-1.0276,-0.5954,7.395,-47.91,46.5,-86.76,24.9,-25.92,-6.5,5,1006.09,23.55,30.453608,-84.31851,156.79,142.4569661,,0.61,58.7871,82.2,0 / 17,705,2018-04-26 00:40:32:766,,,
0.9304,4.2135,8.2105,0.8689,4.2325,8.8072,0.8033,0.1821,0.0443,-0.2912,-0.7511,-0.7417,6.339,-48.5,44.37,-86.87,26.95,-25.56,-5.63,5,1006.09,23.55,30.453608,-84.31851,156.79,142.4569661,,0.61,58.7871,82.2,0 / 17,805,2018-04-26 00:40:32:866,,,
0.9626,4.0907,9.308,1.5098,4.2759,8.699,0.4595,-0.5358,-0.3653,0.0286,-1.0592,-0.802,6.339,-50.61,43.46,-83.77,27.04,-25.23,-7.61,5,1006.09,24.837,30.453608,-84.31851,156.79,142.4569661,,0.61,58.7871,82.2,0 / 17,905,2018-04-26 00:40:32:966,,,
