ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,,,LABEL_DATA
-0.7385,6.0567,8.3124,-0.7036,5.8817,7.8196,-0.0649,-0.1112,-0.2759,-0.1501,-0.1762,-0.0131,8.452,-10.62,-9.77,-43.39,41.36,-37.32,5.74,2,1006.14,34.154,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,4,2018-04-26 00:49:15:596,,,
-0.7074,5.8689,8.1301,-0.5804,5.816,7.8787,0.2256,0.0114,-0.7149,-0.1974,-0.2152,0.1296,8.452,-11.04,-8.52,-43.52,37.83,-36.36,4.21,2,1006.13,24.943,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,103,2018-04-26 00:49:15:695,,,
-0.0569,6.3481,8.4984,-0.243,5.8276,7.8877,-0.9196,-0.3887,0.6086,0.0042,-0.1542,0.32,8.452,-12.33,-8.2,-43.79,37.25,-35.74,3.01,2,1006.13,24.943,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,204,2018-04-26 00:49:15:796,,,
0.8922,6.4107,7.6311,-0.1998,5.8738,7.8546,-0.6434,-0.1473,0.2244,0.1274,-0.2569,-0.0847,8.452,-13.87,-9.73,-42.53,40.74,-36.78,1.46,2,1006.13,24.943,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,303,2018-04-26 00:49:15:895,,,
-0.7074,5.6859,7.4404,0.1663,5.7866,7.9199,0.1106,-0.4483,0.5701,-0.3157,-0.3354,0.0903,8.452,-13.66,-9.02,-42.82,37.69,-37.03,0.53,2,1006.13,25.059,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,404,2018-04-26 00:49:15:996,,,
0.0744,6.0892,7.6623,0.1777,5.4423,8.16,0.3389,0.1269,0.3332,-0.359,0.117,0.006,8.452,-14.82,-7.44,-41.98,36.62,-34.91,-1.66,2,1006.13,25.059,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,503,2018-04-26 00:49:16:095,,,
-0.175,5.3885,7.7535,0.2882,5.3526,8.216,0.0064,0.1189,-0.0291,-0.0917,-0.0465,0.2288,8.452,-14.92,-5.53,-42.81,35.78,-33.07,-2.01,2,1006.12,25.059,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,604,2018-04-26 00:49:16:196,,,
0.4541,5.1754,7.9838,0.2459,5.0796,8.3889,-0.313,0.1159,0.5553,-0.266,0.1659,0.1766,8.452,-14.42,-4.51,-44.05,34.18,-31.18,-1.68,2,1006.12,24.9,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,704,2018-04-26 00:49:16:296,,,
0.4935,4.8841,7.9886,0.0051,4.855,8.5244,0.0547,0.1909,0.2051,-0.4509,0.5177,0.0015,8.452,-12.88,-3.26,-44.25,34.09,-29.66,-0.03,2,1006.12,24.9,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,803,2018-04-26 00:49:16:395,,,
-0.1929,4.3339,9.5107,-0.4955,4.5533,8.6751,-1.0774,-2.252,0.5138,-0.4393,0.5641,0.0496,8.452,-11.76,-1.37,-44.33,37.06,-27.66,3.27,2,1006.12,24.9,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,904,2018-04-26 00:49:16:496,,,
-0.9736,6.0447,8.3664,-0.9279,4.9543,8.4161,-0.9387,-0.7497,-0.2887,0.414,0.0479,-0.6724,8.452,-10.38,-2.61,-44.54,34.17,-29.07,3.62,2,1006.12,35.522,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,1004,2018-04-26 00:49:16:596,,,
0.0052,7.8916,8.7706,-1.701,5.0766,8.2201,-0.3371,-4.5891,1.1976,0.3681,0.3586,-1.7674,9.508,-9.28,-5.22,-44.74,37.98,-30.33,6.29,2,1006.12,35.522,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,1103,2018-04-26 00:49:16:695,,,
-2.8263,7.1379,5.0799,-0.3515,5.7299,7.9549,-0.1427,1.3244,4.3288,0.9493,-1.5325,0.2868,9.508,-9.9,-9.75,-43.74,55.54,-32.48,12.86,2,1006.1,35.522,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,1203,2018-04-26 00:49:16:795,,,
0.3968,1.714,4.7321,2.3201,6.6537,6.8251,1.247,4.7807,2.4262,4.3936,-2.7356,3.8861,9.508,-26.35,-11.6,-36.52,31.65,-42.71,-18.77,2,1006.1,37.182,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,1303,2018-04-26 00:49:16:895,,,
2.9919,0.1501,3.168,7.1821,5.1184,4.296,-3.8995,4.8523,0.4676,5.2723,0.6945,6.0255,9.508,-32.46,-3.58,-32.51,328.95,-31.45,-59.11,2,1006.1,37.182,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,1403,2018-04-26 00:49:16:995,,,
10.1053,0.3716,12.4625,7.8689,-2.419,5.3353,-2.1647,-0.6484,-4.5771,-4.7499,-0.2046,4.61,9.508,-28.6,16.8,-32.98,331.97,-3.94,-55.26,2,1006.11,37.182,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,1504,2018-04-26 00:49:17:096,,,
8.8221,-0.0149,10.2987,7.0548,-4.5903,5.0394,-4.7237,-1.5618,-2.6068,-0.9623,-0.7191,2.9125,9.508,-16.55,35.95,-25.52,328.32,27.9,-54.46,2,1006.11,37.182,30.453468,-84.31873,95.62,NaN,,0,89.90968,,17-Aug,1604,2018-04-26 00:49:17:196,,,
