ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.4549,6.4095,5.3751,-1.1122,5.0382,8.3396,1.1194,0.3154,-1.3627,0.9945,-0.2724,0.2089,0,-12.5,-35,-35.3,133.94,-29.77,6.39,3.1,1009.96,45.552,30.445915,-84.30154,,NaN,,,69.996765,,0 / 7,22,2018-04-16 20:37:44:925
-1.1493,5.1716,5.7008,-1.8602,6.0217,7.5133,0.711,-0.85,-1.8125,-0.7257,-0.2077,-0.077,0,-12.6,-34.9,-35.2,126.77,-30.91,7.6,3.1,1009.96,45.552,30.445915,-84.30154,,NaN,,,69.996765,,0 / 7,122,2018-04-16 20:37:45:025
-2.5307,4.3408,4.4103,-1.5351,4.6478,8.4977,-0.0547,-1.0756,1.8839,-1.5663,0.1784,-0.8125,0,-11.2,-36.1,-34.2,117.4,-37.88,13.91,3.1,1009.94,45.552,30.445915,-84.30154,,NaN,,,69.996765,,0 / 7,222,2018-04-16 20:37:45:125
-1.9633,1.8244,9.2754,-1.5351,4.6478,8.4977,-0.0547,-1.0756,1.8839,-1.5663,0.1784,-0.8125,0,-9.7,-35.9,-34.7,135.28,-28.29,10.24,3.1,1009.94,48.822,30.445915,-84.30154,,NaN,,,69.996765,,0 / 7,322,2018-04-16 20:37:45:225
1.2163,1.6042,6.3329,-0.7375,3.5962,9.0936,2.8995,-2.8181,2.7317,0.8882,1.9132,0.2053,0,-8.7,-34.9,-36.3,148.87,-21.51,4.64,3.1,1009.98,48.822,30.445915,-84.30154,,NaN,,,69.996765,,0 / 7,422,2018-04-16 20:37:45:325
-2.1477,4.9777,5.6002,-1.507,3.7807,8.9222,-0.6406,1.197,-3.322,-0.6597,-0.4667,-1.3341,0,-6,-34.2,-36.6,145.68,-22.68,9.59,3.1,1009.98,48.822,30.445915,-84.30154,,NaN,,,69.996765,,0 / 7,522,2018-04-16 20:37:45:425
-0.7542,2.1812,13.0512,-0.6671,1.5746,9.6564,-0.7791,2.1653,2.7866,-1.2645,-1.7801,-0.9151,0,-6,-34.2,-36.6,145.68,-22.68,9.59,3.1,1010.01,47.76,30.445915,-84.30154,,NaN,,,69.996765,,0 / 7,621,2018-04-16 20:37:45:524
-4.0248,-0.6704,9.5532,2.1267,1.8175,9.3992,-1.6407,-2.8135,1.1356,1.2034,-4.0207,1.0153,0,-4.6,-31.2,-38.5,162.79,-9.24,3.95,3.1,1010.01,47.76,30.445915,-84.30154,,NaN,,,69.996765,,0 / 7,721,2018-04-16 20:37:45:624
-0.9625,-6.0982,6.8117,6.1482,1.2356,7.5395,-7.1107,-7.3339,-0.7277,-0.2786,-4.0488,4.86,0,-22.4,-30.1,-27.9,146.99,-10.68,-12.75,3.1,1010.04,47.76,30.445915,-84.30154,,NaN,,,69.996765,,0 / 7,822,2018-04-16 20:37:45:725
10.3959,-4.0631,5.9115,6.1482,1.2356,7.5395,-7.1107,-7.3339,-0.7277,-0.2786,-4.0488,4.86,0,-39.6,-11.2,-6.6,104.84,-7.24,-39.2,3.1,1010.04,48.189,30.445915,-84.30154,,NaN,,,69.996765,,0 / 7,922,2018-04-16 20:37:45:825
12.5891,-2.083,-0.1532,8.1736,-2.7455,4.6717,4.6214,0.4111,-0.4171,1.8473,-0.7599,4.0317,0,-32.9,8.7,-4.5,104.84,-7.24,-39.2,0,1010.01,48.189,30.445915,-84.30154,,NaN,,,69.996765,,0 / 10,1022,2018-04-16 20:37:45:925
11.7152,-5.8468,8.4422,7.1718,-4.9446,4.504,7.5578,-1.9605,7.3573,-1.5724,0.9102,1.19,0,-19.6,33.7,85.3,62.17,30.28,-57.87,0,1010.01,48.189,30.445915,-84.30154,,NaN,,,69.996765,,0 / 10,1122,2018-04-16 20:37:46:025
11.5787,-7.6353,4.8843,7.0694,-5.711,3.6848,9.0416,-6.9715,-2.0112,-2.1564,3.5271,0.3115,0,-22,2.3,8.3,113.71,35.62,-62.47,0,1009.98,48.189,30.445915,-84.30154,,NaN,,,69.996765,,0 / 10,1222,2018-04-16 20:37:46:125
9.6872,-8.7439,3.5818,6.1739,-5.9159,4.8017,2.4719,3.6796,-0.4298,0.4447,0.2688,0.43,0,-85.6,74.5,2.2,70.17,37.1,-52.13,0,1009.98,48.962,30.445915,-84.30154,,NaN,,,69.996765,,0 / 10,1322,2018-04-16 20:37:46:225
4.0774,0.6058,-17.3058,6.3935,-4.8125,5.6686,-0.6999,0.6656,-0.2791,0.2627,-1.0336,-0.3421,0,-85.6,74.5,2.2,70.17,37.1,-52.13,0,1009.98,48.962,30.445915,-84.30154,,NaN,,,69.996765,,0 / 10,1421,2018-04-16 20:37:46:324
3.9434,-1.8867,5.0399,6.3935,-4.8125,5.6686,-0.6999,0.6656,-0.2791,0.2627,-1.0336,-0.3421,0,-35.2,10,-0.6,101.24,29.39,-48.44,0,1010.02,48.962,30.445915,-84.30154,,NaN,,,69.996765,,0 / 10,1522,2018-04-16 20:37:46:425
2.4469,-4.5276,5.7463,7.642,-3.8453,4.7942,-2.2453,2.8637,-16.1167,1.5345,-1.438,0.1393,0,-36.9,11.6,2.9,101.24,29.39,-48.44,0,1010.02,47.604,30.445915,-84.30154,,NaN,,,69.996765,,0 / 10,1622,2018-04-16 20:37:46:525
5.9546,-2.8995,5.9091,7.9605,-4.0126,4.0866,-2.0059,1.1131,1.8224,-1.0311,2.1661,0.237,0,-36.8,10.4,3.8,95.59,23.09,-57.9,0,1010.05,47.604,30.445915,-84.30154,,NaN,,,69.996765,,0 / 10,1721,2018-04-16 20:37:46:624
7.1709,-4.1373,3.9984,7.5189,-4.9921,3.836,-3.8461,-0.5052,-1.3364,-0.5327,-1.6799,1.8033,0,-36.9,11,4.4,97.47,24.15,-62.83,0,1010.05,47.604,30.445915,-84.30154,,NaN,,,69.996765,,0 / 10,1821,2018-04-16 20:37:46:724
12.1055,-8.8301,2.5379,5.8942,-7.373,2.6585,-5.7936,1.2604,-2.3017,-1.394,1.9328,2.3237,0,-26,23.1,12.7,64.79,30.6,-62.97,0,1010.15,46.996,30.445915,-84.30154,,NaN,,,69.996765,,0 / 10,1922,2018-04-16 20:37:46:825
6.8811,-7.3983,3.6082,4.0945,-8.7685,1.5869,2.7866,1.3702,2.0213,1.1277,-0.8845,1.4514,0,-15.3,28,16.7,58.19,48.75,-65.72,0,1010.15,46.996,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,2022,2018-04-16 20:37:46:925
2.4709,-6.9266,4.0391,4.0945,-8.7685,1.5869,2.7866,1.3702,2.0213,1.1277,-0.8845,1.4514,0,-15.3,28,16.7,58.19,48.75,-65.72,0,1009.98,46.996,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,2121,2018-04-16 20:37:47:024
2.0782,-10.2738,1.3384,3.8407,-8.8614,1.7013,0.7994,-0.5146,-4.1267,-2.1478,-3.1056,1.6518,0,-14.8,29.3,15.2,74.65,63.4,-68.82,0,1009.98,47.197,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,2222,2018-04-16 20:37:47:125
3.1724,-10.1637,0.9386,3.4584,-9.1338,0.8856,0.7412,0.6389,-1.1418,-0.4349,-0.595,0.8125,0,-12.8,29.3,16.9,69.2,64.64,-66.11,0,1010.08,47.197,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,2322,2018-04-16 20:37:47:225
1.0798,-10.111,-1.0655,3.0772,-9.3017,0.4238,-1.564,6.4381,1.585,-0.8467,-0.8992,0.0696,0,-10.1,29.7,17.7,82.77,71.53,-82.16,0,1010.08,47.197,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,2422,2018-04-16 20:37:47:325
1.0798,-10.111,-1.0655,1.5503,-9.6425,0.8877,-0.5663,-1.9913,-4.3044,0.8137,-1.9022,1.3903,0,1.2,37.4,15.2,40,79.5,-60.2,0,1010.08,47.197,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,2522,2018-04-16 20:37:47:425
1.5347,-15.7543,-2.9976,1.0175,-9.7401,0.5149,-0.7326,-6.1172,-2.5549,0.0953,0.0831,-0.0012,0,-14.3,34.8,25.3,84.26,83.32,-63.16,0,1010.08,46.964,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,2622,2018-04-16 20:37:47:525
0.5531,-10.6809,2.095,1.0175,-9.7401,0.5149,-0.7326,-6.1172,-2.5549,0.0953,0.0831,-0.0012,0,-14.3,34.8,25.3,84.26,83.32,-63.16,0,1010.04,46.964,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,2722,2018-04-16 20:37:47:625
0.7326,-8.854,2.265,1.0707,-9.7368,0.4673,-0.3381,0.8828,1.7977,-0.7306,1.7275,-0.573,0,-18,33.5,24.3,92.39,83.32,-63.16,0,1010.04,46.964,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,2822,2018-04-16 20:37:47:725
3.2849,-9.388,0.1484,1.261,-9.7226,0.2268,4.9545,2.705,-1.2923,-0.3054,0.0977,0.044,0,-19.6,32.1,25.3,111.25,82.49,-79.8,0,1010.04,46.964,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,2922,2018-04-16 20:37:47:825
4.8005,-8.8109,0.1939,1.5752,-9.6792,0.0421,-0.5553,-1.3895,-0.7604,-0.3763,0.3384,-0.1075,0,-18.8,32.4,25.3,109.62,82.49,-79.8,0,1010.04,48.4,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,3021,2018-04-16 20:37:47:924
0.5411,-11.119,-0.1077,1.6092,-9.6696,0.2833,-0.6754,1.6487,-1.7222,-0.3763,0.3384,-0.1075,0,-21.2,29.6,24.2,109.62,82.49,-79.8,0,1009.96,48.4,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,3122,2018-04-16 20:37:48:025
2.8923,-9.7471,-0.158,1.439,-9.671,0.7561,2.0878,0.0747,-1.0769,0.5058,0.5241,0.2431,0,-20.5,29.7,21.8,112.99,80.41,-80.02,0,1009.96,48.4,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,3222,2018-04-16 20:37:48:125
3.601,-9.0504,-0.1532,1.439,-9.671,0.7561,2.0878,0.0747,-1.0769,0.1955,0.0293,0.3995,0,-20.5,29.7,21.8,112.99,80.41,-80.02,0,1010.02,47.025,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,3321,2018-04-16 20:37:48:224
3.3616,-11.7272,0.0192,1.3811,-9.6837,0.6984,1.9804,-2.0434,-0.6793,-0.9529,-0.4704,-0.1161,0,-20.2,31.2,20.1,96.65,80.46,-62.28,0,1010.02,47.025,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,3422,2018-04-16 20:37:48:325
-0.2514,-11.3106,-1.4701,1.3436,-9.6968,-0.5796,-0.5128,-2.0926,-1.568,-2.1063,0.1271,-0.3372,0,-20,31.9,19.7,96.65,80.46,-62.28,0,1010.06,47.025,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,3522,2018-04-16 20:37:48:425
-0.3639,-9.4526,2.4541,1.4115,-9.3373,-2.6445,1.3203,1.4601,0.5207,-2.1063,0.1271,-0.3372,0,-18.5,26.8,27,142.35,81.42,-113.34,0,1010.06,47.894,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,3622,2018-04-16 20:37:48:525
0.9721,-9.5915,-1.3384,1.6502,-9.0188,-3.4796,-2.8258,0.148,1.2673,-1.0006,-1.7752,-0.8931,0,-15.3,21.2,33.5,174.5,72.2,-151.91,0,1010.02,47.894,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,3722,2018-04-16 20:37:48:625
1.4964,-7.1613,-1.8532,2.0425,-8.8595,-3.6753,-0.5461,1.6982,1.8222,-0.3519,-0.3861,-0.942,0,-14.3,18.6,35.6,174.5,72.2,-151.91,0,1010.02,47.894,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,3822,2018-04-16 20:37:48:725
1.4964,-7.1613,-1.8532,2.0425,-8.8595,-3.6753,-0.5461,1.6982,1.8222,0.8002,-0.3152,-0.3971,0,-14.5,19.1,36.5,168.1,64.61,-150.94,0,1010.06,46.489,30.445915,-84.30154,,NaN,,,69.996765,,0 / 12,3922,2018-04-16 20:37:48:825
